video_id,thumbnails
5_d-ON4ktkc,https://i.ytimg.com/vi/5_d-ON4ktkc/default.jpg
HKuCPqUpp4s,https://i.ytimg.com/vi/HKuCPqUpp4s/default.jpg
th2T6rygqNU,https://i.ytimg.com/vi/th2T6rygqNU/default.jpg
UeG1ftTmLAg,https://i.ytimg.com/vi/UeG1ftTmLAg/default.jpg
nhL3vSVlvFo,https://i.ytimg.com/vi/nhL3vSVlvFo/default.jpg
evXDnRpgolc,https://i.ytimg.com/vi/evXDnRpgolc/default.jpg
ofyyJWHnEPM,https://i.ytimg.com/vi/ofyyJWHnEPM/default.jpg
SOk-KVq-O1I,https://i.ytimg.com/vi/SOk-KVq-O1I/default.jpg
QWV3cEI-zoE,https://i.ytimg.com/vi/QWV3cEI-zoE/default.jpg
kxgB2-ZpZeY,https://i.ytimg.com/vi/kxgB2-ZpZeY/default.jpg
xPxbrHMHgNE,https://i.ytimg.com/vi/xPxbrHMHgNE/default.jpg
YwabP6B_UkE,https://i.ytimg.com/vi/YwabP6B_UkE/default.jpg
8YydogFXCPM,https://i.ytimg.com/vi/8YydogFXCPM/default.jpg
LAbXD3sx3fc,https://i.ytimg.com/vi/LAbXD3sx3fc/default.jpg
779akDPBNYc,https://i.ytimg.com/vi/779akDPBNYc/default.jpg
rdfC6XwXTW0,https://i.ytimg.com/vi/rdfC6XwXTW0/default.jpg
09Z9tbJLkCE,https://i.ytimg.com/vi/09Z9tbJLkCE/default.jpg
gpe4kNlRcmE,https://i.ytimg.com/vi/gpe4kNlRcmE/default.jpg
4o1PTcoZbKQ,https://i.ytimg.com/vi/4o1PTcoZbKQ/default.jpg
dFLj3DeKT-E,https://i.ytimg.com/vi/dFLj3DeKT-E/default.jpg
CAUO3YGvqnU,https://i.ytimg.com/vi/CAUO3YGvqnU/default.jpg
jC9l0_NClrY,https://i.ytimg.com/vi/jC9l0_NClrY/default.jpg
P8V_bx0L4RY,https://i.ytimg.com/vi/P8V_bx0L4RY/default.jpg
Gq59egL20dg,https://i.ytimg.com/vi/Gq59egL20dg/default.jpg
xmEI_HZS64U,https://i.ytimg.com/vi/xmEI_HZS64U/default.jpg
dzA8_7X9uLQ,https://i.ytimg.com/vi/dzA8_7X9uLQ/default.jpg
gm2_6DX_0Bw,https://i.ytimg.com/vi/gm2_6DX_0Bw/default.jpg
t3P1p6vF_CY,https://i.ytimg.com/vi/t3P1p6vF_CY/default.jpg
t8I_GRa_h-o,https://i.ytimg.com/vi/t8I_GRa_h-o/default.jpg
nZbFkgGtdhw,https://i.ytimg.com/vi/nZbFkgGtdhw/default.jpg
UnTPrYdGdkg,https://i.ytimg.com/vi/UnTPrYdGdkg/default.jpg
oKbUSJr1A64,https://i.ytimg.com/vi/oKbUSJr1A64/default.jpg
IJq4vWADtfs,https://i.ytimg.com/vi/IJq4vWADtfs/default.jpg
QuncAUHpl-8,https://i.ytimg.com/vi/QuncAUHpl-8/default.jpg
cZ85wy9fZO0,https://i.ytimg.com/vi/cZ85wy9fZO0/default.jpg
L4aBqvbP_MM,https://i.ytimg.com/vi/L4aBqvbP_MM/default.jpg
